id,class
1332,sad
1333,sad
1334,sad
1335,same
1336,same
1337,same
1338,science
1339,science
1340,science
1341,share
1342,share
1343,share
1344,shop
1345,shop
1346,shop
1347,soon
1348,soon
1349,soon
1350,sorry
1351,sorry
1352,sorry
1353,spend
1354,spend
1355,spend
1356,stubborn
1357,stubborn
1358,stubborn
1359,surprise
1360,surprise
1361,surprise
1362,take
1363,take
1364,take
1365,temper
1366,temper
1367,temper
1368,thank
1369,thank
1370,thank
1371,think
1372,think
1373,think
1374,tray
1375,tray
1376,tray
1377,us
1378,us
1379,us
1380,voluntary
1381,voluntary
1382,voluntary
1383,wait_notyet_
1384,wait_notyet_
1385,wait_notyet_
1386,what
1387,what
1388,what
1389,when
1390,when
1391,when
1392,where
1393,where
1394,where
1395,which
1396,which
1397,which
1398,who
1399,who
1400,who
1401,why
1402,why
1403,why
1404,wild
1405,wild
1406,wild
1407,will
1408,will
1409,will
1410,write
1411,write
1412,write
1413,wrong
1414,wrong
1415,wrong
1416,yes
1417,yes
1418,yes
1419,you
1420,you
1421,you
1422,zero
1423,zero
1424,zero
1425,alive
1426,alive
1427,alive
1428,all
1429,all
1430,all
1431,answer
1432,answer
1433,answer
1434,boy
1435,boy
1436,boy
1437,building
1438,building
1439,building
1440,buy
1441,buy
1442,buy
1443,change_mind_
1444,change_mind_
1445,change_mind_
1446,cold
1447,cold
1448,cold
1449,come
1450,come
1451,come
1452,computer_PC_
1453,computer_PC_
1454,computer_PC_
1455,cost
1456,cost
1457,cost
1458,crazy
1459,crazy
1460,crazy
1461,danger
1462,danger
1463,danger
1464,deaf
1465,deaf
1466,deaf
1467,different
1468,different
1469,different
1470,draw
1471,draw
1472,draw
1473,drink
1474,drink
1475,drink
1476,eat
1477,eat
1478,eat
1479,exit
1480,exit
1481,exit
1482,flash
1483,flash
1484,flash
1485,forget
1486,forget
1487,forget
1488,girl
1489,girl
1490,girl
1491,give
1492,give
1493,give
1494,glove
1495,glove
1496,glove
1497,go
1498,go
1499,go
1500,God
1501,God
1502,God
1503,happy
1504,happy
1505,happy
1506,head
1507,head
1508,head
1509,hear
1510,hear
1511,hear
1512,hello
1513,hello
1514,hello
1515,his_hers
1516,his_hers
1517,his_hers
1518,hot
1519,hot
1520,hot
1521,how
1522,how
1523,how
1524,hurry
1525,hurry
1526,hurry
1527,hurt
1528,hurt
1529,hurt
1530,I
1531,I
1532,I
1533,innocent
1534,innocent
1535,innocent
1536,is_true_
1537,is_true_
1538,is_true_
1539,joke
1540,joke
1541,joke
1542,juice
1543,juice
1544,juice
1545,know
1546,know
1547,know
1548,later
1549,later
1550,later
1551,lose
1552,lose
1553,lose
1554,love
1555,love
1556,love
1557,make
1558,make
1559,make
1560,man
1561,man
1562,man
1563,maybe
1564,maybe
1565,maybe
1566,mine
1567,mine
1568,mine
1569,money
1570,money
1571,money
1572,more
1573,more
1574,more
1575,name
1576,name
1577,name
1578,no
1579,no
1580,no
1581,Norway
1582,Norway
1583,Norway
1584,not
1585,not
1586,not
1587,paper
1588,paper
1589,paper
1590,pen
1591,pen
1592,pen
1593,please
1594,please
1595,please
1596,polite
1597,polite
1598,polite
1599,question
1600,question
1601,question
1602,read
1603,read
1604,read
1605,ready
1606,ready
1607,ready
1608,research
1609,research
1610,research
1611,responsible
1612,responsible
1613,responsible
1614,right
1615,right
1616,right
1617,sad
1618,sad
1619,sad
1620,same
1621,same
1622,same
1623,science
1624,science
1625,science
1626,share
1627,share
1628,share
1629,shop
1630,shop
1631,shop
1632,soon
1633,soon
1634,soon
1635,sorry
1636,sorry
1637,sorry
1638,spend
1639,spend
1640,spend
1641,stubborn
1642,stubborn
1643,stubborn
1644,surprise
1645,surprise
1646,surprise
1647,take
1648,take
1649,take
1650,temper
1651,temper
1652,temper
1653,thank
1654,thank
1655,thank
1656,think
1657,think
1658,think
1659,tray
1660,tray
1661,tray
1662,us
1663,us
1664,us
1665,voluntary
1666,voluntary
1667,voluntary
1668,wait_notyet_
1669,wait_notyet_
1670,wait_notyet_
1671,what
1672,what
1673,what
1674,when
1675,when
1676,when
1677,where
1678,where
1679,where
1680,which
1681,which
1682,which
1683,who
1684,who
1685,who
1686,why
1687,why
1688,why
1689,wild
1690,wild
1691,wild
1692,will
1693,will
1694,will
1695,write
1696,write
1697,write
1698,wrong
1699,wrong
1700,wrong
1701,yes
1702,yes
1703,yes
1704,you
1705,you
1706,you
1707,zero
1708,zero
1709,zero
1710,alive
1711,alive
1712,alive
1713,all
1714,all
1715,all
1716,answer
1717,answer
1718,answer
1719,boy
1720,boy
1721,boy
1722,building
1723,building
1724,building
1725,buy
1726,buy
1727,buy
1728,change_mind_
1729,change_mind_
1730,change_mind_
1731,cold
1732,cold
1733,cold
1734,come
1735,come
1736,come
1737,computer_PC_
1738,computer_PC_
1739,computer_PC_
1740,cost
1741,cost
1742,cost
1743,crazy
1744,crazy
1745,crazy
1746,danger
1747,danger
1748,danger
1749,deaf
1750,deaf
1751,deaf
1752,different
1753,different
1754,different
1755,draw
1756,draw
1757,draw
1758,drink
1759,drink
1760,drink
1761,eat
1762,eat
1763,eat
1764,exit
1765,exit
1766,exit
1767,flash
1768,flash
1769,flash
1770,forget
1771,forget
1772,forget
1773,girl
1774,girl
1775,girl
1776,give
1777,give
1778,give
1779,glove
1780,glove
1781,glove
1782,go
1783,go
1784,go
1785,God
1786,God
1787,God
1788,happy
1789,happy
1790,happy
1791,head
1792,head
1793,head
1794,hear
1795,hear
1796,hear
1797,hello
1798,hello
1799,hello
1800,his_hers
1801,his_hers
1802,his_hers
1803,hot
1804,hot
1805,hot
1806,how
1807,how
1808,how
1809,hurry
1810,hurry
1811,hurry
1812,hurt
1813,hurt
1814,hurt
1815,I
1816,I
1817,I
1818,innocent
1819,innocent
1820,innocent
1821,is_true_
1822,is_true_
1823,is_true_
1824,joke
1825,joke
1826,joke
1827,juice
1828,juice
1829,juice
1830,know
1831,know
1832,know
1833,later
1834,later
1835,later
1836,lose
1837,lose
1838,lose
1839,love
1840,love
1841,love
1842,make
1843,make
1844,make
1845,man
1846,man
1847,man
1848,maybe
1849,maybe
1850,maybe
1851,mine
1852,mine
1853,mine
1854,money
1855,money
1856,money
1857,more
1858,more
1859,more
1860,name
1861,name
1862,name
1863,no
1864,no
1865,no
1866,Norway
1867,Norway
1868,Norway
1869,not
1870,not
1871,not
1872,paper
1873,paper
1874,paper
1875,pen
1876,pen
1877,pen
1878,please
1879,please
1880,please
1881,polite
1882,polite
1883,polite
1884,question
1885,question
1886,question
1887,read
1888,read
1889,read
1890,ready
1891,ready
1892,ready
1893,research
1894,research
1895,research
1896,responsible
1897,responsible
1898,responsible
1899,right
1900,right
1901,right
1902,sad
1903,sad
1904,sad
1905,same
1906,same
1907,same
1908,science
1909,science
1910,science
1911,share
1912,share
1913,share
1914,shop
1915,shop
1916,shop
1917,soon
1918,soon
1919,soon
1920,sorry
1921,sorry
1922,sorry
1923,spend
1924,spend
1925,spend
1926,stubborn
1927,stubborn
1928,stubborn
1929,surprise
1930,surprise
1931,surprise
1932,take
1933,take
1934,take
1935,temper
1936,temper
1937,temper
1938,thank
1939,thank
1940,thank
1941,think
1942,think
1943,think
1944,tray
1945,tray
1946,tray
1947,us
1948,us
1949,us
1950,voluntary
1951,voluntary
1952,voluntary
1953,wait_notyet_
1954,wait_notyet_
1955,wait_notyet_
1956,what
1957,what
1958,what
1959,when
1960,when
1961,when
1962,where
1963,where
1964,where
1965,which
1966,which
1967,which
1968,who
1969,who
1970,who
1971,why
1972,why
1973,why
1974,wild
1975,wild
1976,wild
1977,will
1978,will
1979,will
1980,write
1981,write
1982,write
1983,wrong
1984,wrong
1985,wrong
1986,yes
1987,yes
1988,yes
1989,you
1990,you
1991,you
1992,zero
1993,zero
1994,zero
1995,alive
1996,alive
1997,alive
1998,all
1999,all
2000,all
2001,answer
2002,answer
2003,answer
2004,boy
2005,boy
2006,boy
2007,building
2008,building
2009,building
2010,buy
2011,buy
2012,buy
2013,change_mind_
2014,change_mind_
2015,change_mind_
2016,cold
2017,cold
2018,cold
2019,come
2020,come
2021,come
2022,computer_PC_
2023,computer_PC_
2024,computer_PC_
2025,cost
2026,cost
2027,cost
2028,crazy
2029,crazy
2030,crazy
2031,danger
2032,danger
2033,danger
2034,deaf
2035,deaf
2036,deaf
2037,different
2038,different
2039,different
2040,draw
2041,draw
2042,draw
2043,drink
2044,drink
2045,drink
2046,eat
2047,eat
2048,eat
2049,exit
2050,exit
2051,exit
2052,flash
2053,flash
2054,flash
2055,forget
2056,forget
2057,forget
2058,girl
2059,girl
2060,girl
2061,give
2062,give
2063,give
2064,glove
2065,glove
2066,glove
2067,go
2068,go
2069,go
2070,God
2071,God
2072,God
2073,happy
2074,happy
2075,happy
2076,head
2077,head
2078,head
2079,hear
2080,hear
2081,hear
2082,hello
2083,hello
2084,hello
2085,his_hers
2086,his_hers
2087,his_hers
2088,hot
2089,hot
2090,hot
2091,how
2092,how
2093,how
2094,hurry
2095,hurry
2096,hurry
2097,hurt
2098,hurt
2099,hurt
2100,I
2101,I
2102,I
2103,innocent
2104,innocent
2105,innocent
2106,is_true_
2107,is_true_
2108,is_true_
2109,joke
2110,joke
2111,joke
2112,juice
2113,juice
2114,juice
2115,know
2116,know
2117,know
2118,later
2119,later
2120,later
2121,lose
2122,lose
2123,lose
2124,love
2125,love
2126,love
2127,make
2128,make
2129,make
2130,man
2131,man
2132,man
2133,maybe
2134,maybe
2135,maybe
2136,mine
2137,mine
2138,mine
2139,money
2140,money
2141,money
2142,more
2143,more
2144,more
2145,name
2146,name
2147,name
2148,no
2149,no
2150,no
2151,Norway
2152,Norway
2153,Norway
2154,not
2155,not
2156,not
2157,paper
2158,paper
2159,paper
2160,pen
2161,pen
2162,pen
2163,please
2164,please
2165,please
2166,polite
2167,polite
2168,polite
2169,question
2170,question
2171,question
2172,read
2173,read
2174,read
2175,ready
2176,ready
2177,ready
2178,research
2179,research
2180,research
2181,responsible
2182,responsible
2183,responsible
2184,right
2185,right
2186,right
2187,sad
2188,sad
2189,sad
2190,same
2191,same
2192,same
2193,science
2194,science
2195,science
2196,share
2197,share
2198,share
2199,shop
2200,shop
2201,shop
2202,soon
2203,soon
2204,soon
2205,sorry
2206,sorry
2207,sorry
2208,spend
2209,spend
2210,spend
2211,stubborn
2212,stubborn
2213,stubborn
2214,surprise
2215,surprise
2216,surprise
2217,take
2218,take
2219,take
2220,temper
2221,temper
2222,temper
2223,thank
2224,thank
2225,thank
2226,think
2227,think
2228,think
2229,tray
2230,tray
2231,tray
2232,us
2233,us
2234,us
2235,voluntary
2236,voluntary
2237,voluntary
2238,wait_notyet_
2239,wait_notyet_
2240,wait_notyet_
2241,what
2242,what
2243,what
2244,when
2245,when
2246,when
2247,where
2248,where
2249,where
2250,which
2251,which
2252,which
2253,who
2254,who
2255,who
2256,why
2257,why
2258,why
2259,wild
2260,wild
2261,wild
2262,will
2263,will
2264,will
2265,write
2266,write
2267,write
2268,wrong
2269,wrong
2270,wrong
2271,yes
2272,yes
2273,yes
2274,you
2275,you
2276,you
2277,zero
2278,zero
2279,zero
2280,alive
2281,alive
2282,alive
2283,all
2284,all
2285,all
2286,answer
2287,answer
2288,answer
2289,boy
2290,boy
2291,boy
2292,building
2293,building
2294,building
2295,buy
2296,buy
2297,buy
2298,change_mind_
2299,change_mind_
2300,change_mind_
2301,cold
2302,cold
2303,cold
2304,come
2305,come
2306,come
2307,computer_PC_
2308,computer_PC_
2309,computer_PC_
2310,cost
2311,cost
2312,cost
2313,crazy
2314,crazy
2315,crazy
2316,danger
2317,danger
2318,danger
2319,deaf
2320,deaf
2321,deaf
2322,different
2323,different
2324,different
2325,draw
2326,draw
2327,draw
2328,drink
2329,drink
2330,drink
2331,eat
2332,eat
2333,eat
2334,exit
2335,exit
2336,exit
2337,flash
2338,flash
2339,flash
2340,forget
2341,forget
2342,forget
2343,girl
2344,girl
2345,girl
2346,give
2347,give
2348,give
2349,glove
2350,glove
2351,glove
2352,go
2353,go
2354,go
2355,God
2356,God
2357,God
2358,happy
2359,happy
2360,happy
2361,head
2362,head
2363,head
2364,hear
2365,hear
2366,hear
2367,hello
2368,hello
2369,hello
2370,his_hers
2371,his_hers
2372,his_hers
2373,hot
2374,hot
2375,hot
2376,how
2377,how
2378,how
2379,hurry
2380,hurry
2381,hurry
2382,hurt
2383,hurt
2384,hurt
2385,I
2386,I
2387,I
2388,innocent
2389,innocent
2390,innocent
2391,is_true_
2392,is_true_
2393,is_true_
2394,joke
2395,joke
2396,joke
2397,juice
2398,juice
2399,juice
2400,know
2401,know
2402,know
2403,later
2404,later
2405,later
2406,lose
2407,lose
2408,lose
2409,love
2410,love
2411,love
2412,make
2413,make
2414,make
2415,man
2416,man
2417,man
2418,maybe
2419,maybe
2420,maybe
2421,mine
2422,mine
2423,mine
2424,money
2425,money
2426,money
2427,more
2428,more
2429,more
2430,name
2431,name
2432,name
2433,no
2434,no
2435,no
2436,Norway
2437,Norway
2438,Norway
2439,not
2440,not
2441,not
2442,paper
2443,paper
2444,paper
2445,pen
2446,pen
2447,pen
2448,please
2449,please
2450,please
2451,polite
2452,polite
2453,polite
2454,question
2455,question
2456,question
2457,read
2458,read
2459,read
2460,ready
2461,ready
2462,ready
2463,research
2464,research
2465,research
2466,responsible
2467,responsible
2468,responsible
2469,right
2470,right
2471,right
2472,sad
2473,sad
2474,sad
2475,same
2476,same
2477,same
2478,science
2479,science
2480,science
2481,share
2482,share
2483,share
2484,shop
2485,shop
2486,shop
2487,soon
2488,soon
2489,soon
2490,sorry
2491,sorry
2492,sorry
2493,spend
2494,spend
2495,spend
2496,stubborn
2497,stubborn
2498,stubborn
2499,surprise
2500,surprise
2501,surprise
2502,take
2503,take
2504,take
2505,temper
2506,temper
2507,temper
2508,thank
2509,thank
2510,thank
2511,think
2512,think
2513,think
2514,tray
2515,tray
2516,tray
2517,us
2518,us
2519,us
2520,voluntary
2521,voluntary
2522,voluntary
2523,wait_notyet_
2524,wait_notyet_
2525,wait_notyet_
2526,what
2527,what
2528,what
2529,when
2530,when
2531,when
2532,where
2533,where
2534,where
2535,which
2536,which
2537,which
2538,who
2539,who
2540,who
2541,why
2542,why
2543,why
2544,wild
2545,wild
2546,wild
2547,will
2548,will
2549,will
2550,write
2551,write
2552,write
2553,wrong
2554,wrong
2555,wrong
2556,yes
2557,yes
2558,yes
2559,you
2560,you
2561,you
2562,zero
2563,zero
2564,zero
